Variable.Name,missingness_0,missingness_1
GBAGEBOORTELAND,0,0
GBAGESLACHT,0,0
GBAAANTALOUDERSBUITENLAND,0,0
GBAHERKOMSTGROEPERING,0,0
GBAGENERATIE,0,0
GBAGEBOORTEJAAR,0,0
GBAGEBOORTEMAAND,0,0
DATUMAANVANGHH,0,0
TYPHH,0,0
PLHH,0,0
AANTALPERSHH,0,0
AANTALKINDHH,0,0
AANTALOVHH,0,0
IMPUTATIECODEHH,0,0
children_pre2021,0,0
GBAHERKOMSTLAND,0,0
GBAGEBOORTELANDNL,17.61509234273001,17.765429688814695
birthday,0,0
OPLNIVSOI2021AGG4HBmetNIRWO,13.045368353819958,9.595048498596537
OPLNIVSOI2021AGG4HGmetNIRWO,13.045368353819958,9.595048498596537
OPLNIVSOI2021AGG4HBmetNIRWO_isced,13.045368353819958,9.595048498596537
OPLNIVSOI2021AGG4HGmetNIRWO_isced,13.045368353819958,9.595048498596537
AANVSECM,0,0
SECM,0,0
marriages_total,0,0
partnerships_total,0,0
GBABURGERLIJKESTAATNW,0,0
AANVANGVERBINTENIS,0,0
INPBELI,2.5094348479826567,1.9868942723864271
INPPERSPRIM,2.5094348479826567,1.9868942723864271
INPPINK,2.5094348479826567,1.9868942723864271
INPPOSHHK,1.8238382654389391,1.6892051076662113
INHAHL,1.8238382654389391,1.6892051076662113
INHAHLMI,2.5094348479826567,1.9868942723864271
INHBBIHJ,2.5094348479826567,1.9868942723864271
INHBRUTINKH,2.5094348479826567,1.9868942723864271
INHEHALGR,1.8238382654389391,1.6892051076662113
INHSAMAOW,1.8238382654389391,1.6892051076662113
INHSAMHH,1.8238382654389391,1.6892051076662113
INHUAFTYP,2.412902803639938,1.914196861895114
VEHW1000VERH,2.5094348479826567,1.9868942723864271
VEHW1100BEZH,2.5094348479826567,1.9868942723864271
VEHW1110FINH,2.5094348479826567,1.9868942723864271
VEHW1120ONRH,2.5094348479826567,1.9868942723864271
VEHW1130ONDH,2.5094348479826567,1.9868942723864271
VEHW1140ABEH,2.5094348479826567,1.9868942723864271
VEHW1150OVEH,2.5094348479826567,1.9868942723864271
VEHW1200STOH,2.5094348479826567,1.9868942723864271
VEHW1210SHYH,2.5094348479826567,1.9868942723864271
VEHW1220SSTH,2.5094348479826567,1.9868942723864271
VEHW1230SOVH,2.5094348479826567,1.9868942723864271
VEHWVEREXEWH,2.5094348479826567,1.9868942723864271
GBADATUMAANVANGADRESHOUDING,0,0
VZAFSTANDKDV,3.776954930374876,5.60291732015805
VZAANTKDV01KM,3.776954930374876,5.60291732015805
VZAANTKDV03KM,3.776954930374876,5.60291732015805
VZAANTKDV05KM,3.776954930374876,5.60291732015805
VZAFSTANDBSO,3.776954930374876,5.60291732015805
VZAANTBSO01KM,3.776954930374876,5.60291732015805
VZAANTBSO03KM,3.776954930374876,5.60291732015805
VZAANTBSO05KM,3.776954930374876,5.60291732015805
VBOWoningtype,2.94023007799664,3.2384003877195227
family_member_count_type_301,5.502639481406984,3.653044877188495
family_member_count_type_302,5.502639481406984,3.653044877188495
family_member_count_type_303,5.502639481406984,3.653044877188495
family_member_count_type_304,5.502639481406984,3.653044877188495
family_member_count_type_306,5.502639481406984,3.653044877188495
family_member_count_type_309,5.502639481406984,3.653044877188495
family_member_count_type_311,5.502639481406984,3.653044877188495
family_member_count_type_312,5.502639481406984,3.653044877188495
family_member_count_type_314,5.502639481406984,3.653044877188495
family_member_count_type_316,5.502639481406984,3.653044877188495
family_member_count_type_322,5.502639481406984,3.653044877188495
family_member_count_type_320,5.502639481406984,3.653044877188495
family_member_count_type_310,5.502639481406984,3.653044877188495
family_member_count_type_313,5.502639481406984,3.653044877188495
family_member_count_type_308,5.502639481406984,3.653044877188495
family_member_count_type_317,5.502639481406984,3.653044877188495
family_member_count_type_319,5.502639481406984,3.653044877188495
family_member_count_type_318,5.502639481406984,3.653044877188495
family_member_count_type_307,5.502639481406984,3.653044877188495
family_member_count_type_321,5.502639481406984,3.653044877188495
family_member_count_type_315,5.502639481406984,3.653044877188495
family_member_count_type_305,5.502639481406984,3.653044877188495
family_member_count_total,5.502639481406984,3.653044877188495
ego_age,0,0
has_partner,0,0
