feature_set,sampling_file,training_set,model,grid_row,step,estimate_LogLoss,estimate_MSE,estimate_In_Sample_R2,estimate_R2_Holdout,estimate_AUC,ci_lower_LogLoss,ci_lower_MSE,ci_lower_In_Sample_R2,ci_lower_R2_Holdout,ci_lower_AUC,ci_upper_LogLoss,ci_upper_MSE,ci_upper_In_Sample_R2,ci_upper_R2_Holdout,ci_upper_AUC,evaluation_set,estimate_F1_Score,estimate_Accuracy,ci_lower_F1_Score,ci_lower_Accuracy,ci_upper_F1_Score,ci_upper_Accuracy,threshold_F1_Score,threshold_Accuracy,selection_set
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_100,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.450137336,0.125970329,-0.015014335,0.029204212,0.660941978,0.445814627,0.12471769,-0.0179458,0.02639784,0.657713579,0.454296095,0.127171058,-0.012198862,0.031958307,0.663979362,evaluation_selection_50_percent_split,0.317640237,0.854814112,0.31381967,0.853318099,0.32142995,0.856339295,0.068411138,0.518411138,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_100,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.447713201,0.125076888,-0.014226825,0.028985681,0.659624291,0.443251979,0.123820332,-0.017015172,0.026226939,0.656358059,0.452166382,0.126372439,-0.011265935,0.031834766,0.663012533,evaluation_test_50_percent_split,0.314628245,0.855917966,0.31062603,0.854295954,0.318636372,0.857506088,0.068411138,0.518411138,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_100,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.449382306,0.12569572,-0.014511255,0.029425495,0.660293377,0.447634615,0.125191828,-0.015719051,0.028292588,0.658931062,0.451129797,0.126189773,-0.013265423,0.030619378,0.661634013,official_holdout_set,0.317398419,0.855108706,0.315853435,0.85450452,0.31902866,0.855714451,0.068411138,0.518411138,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.368971029,0.114284968,0.079141243,0.079425079,0.741284296,0.366175288,0.113285525,0.076269445,0.076496792,0.738587418,0.371599601,0.115207725,0.082018871,0.082325794,0.743916374,evaluation_selection_50_percent_split,0.383077115,0.854814112,0.379298246,0.853318099,0.386673402,0.856339295,0.144673599,0.594673599,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.36741982,0.113731489,0.077771048,0.077964147,0.740656825,0.364756966,0.112737545,0.074886827,0.075056345,0.737995192,0.370238451,0.114728895,0.080649221,0.080895417,0.743286899,evaluation_test_50_percent_split,0.37990038,0.855917966,0.37600706,0.854295954,0.383595949,0.857506088,0.144673599,0.594673599,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_1000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.369185244,0.114362138,0.076963981,0.077222477,0.739918157,0.368069525,0.113960845,0.075785854,0.076028144,0.738817892,0.370277874,0.114748559,0.078198099,0.078463064,0.741048045,official_holdout_set,0.381104666,0.855108706,0.37962349,0.85450452,0.382581045,0.855714451,0.144673599,0.594673599,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.363312048,0.11219467,0.095983962,0.096036507,0.751911996,0.360547077,0.111233061,0.093366434,0.093405601,0.74926933,0.365907856,0.113090996,0.098502243,0.098595136,0.754526678,evaluation_selection_50_percent_split,0.393439192,0.854814112,0.3896373,0.853318099,0.397207264,0.856339295,0.190259261,0.500259261,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.36120419,0.111593674,0.095106221,0.095124585,0.752122134,0.358551108,0.110647366,0.09246746,0.092467847,0.749444478,0.364032775,0.112562302,0.097549773,0.097588502,0.754735734,evaluation_test_50_percent_split,0.391707144,0.855917966,0.387802997,0.854295954,0.395359079,0.857506088,0.190259261,0.500259261,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_10000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.363027551,0.112157018,0.094761876,0.094803654,0.751133605,0.361927464,0.111781143,0.09372723,0.093769291,0.750027493,0.364110543,0.112522572,0.095831755,0.095885299,0.752231034,official_holdout_set,0.392606015,0.855108706,0.391096545,0.85450452,0.394158873,0.855714451,0.190259261,0.500259261,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_200,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.393828993,0.120911859,0.025744629,0.03536746,0.707714868,0.390522187,0.119844945,0.023207229,0.032619354,0.70490707,0.396855613,0.121949636,0.028295425,0.038048852,0.710476384,evaluation_selection_50_percent_split,0.375396825,0.854814112,0.371805004,0.853318099,0.37883811,0.856339295,0.10957135,0.48957135,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_200,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.392072278,0.120211507,0.025225703,0.034321517,0.706791607,0.388816255,0.119118457,0.022635361,0.03150078,0.703897923,0.395364458,0.12135077,0.027961008,0.03715636,0.70967624,evaluation_test_50_percent_split,0.372933557,0.855917966,0.369086926,0.854295954,0.37665556,0.857506088,0.10957135,0.48957135,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_200,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.393613589,0.120833759,0.024730446,0.034220064,0.706636565,0.392353277,0.120403509,0.023708136,0.033130367,0.705503669,0.394868738,0.121253588,0.025867547,0.035423329,0.707861293,official_holdout_set,0.374089562,0.855108706,0.372659579,0.85450452,0.375545932,0.855714451,0.10957135,0.48957135,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_2000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.366370379,0.113524413,0.085269463,0.085763084,0.744536028,0.363560165,0.112529286,0.082651892,0.083116281,0.741817356,0.369113104,0.114456402,0.087851421,0.088416622,0.747024934,evaluation_selection_50_percent_split,0.384229676,0.854814112,0.380550425,0.853318099,0.387858228,0.856339295,0.151462777,0.481462777,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_2000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.364065537,0.112754131,0.085696273,0.086067969,0.745602173,0.361349197,0.111770474,0.082897651,0.083238449,0.742910891,0.366871827,0.113758274,0.088369368,0.088805935,0.748318489,evaluation_test_50_percent_split,0.381925365,0.855917966,0.378043676,0.854295954,0.38569581,0.857506088,0.151462777,0.481462777,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_2000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.365811105,0.113368751,0.084981777,0.085441445,0.744572231,0.36468092,0.112986466,0.083898474,0.084323333,0.743483722,0.366882533,0.113748563,0.086111678,0.086590141,0.7456926,official_holdout_set,0.383230103,0.855108706,0.381794643,0.85450452,0.384667414,0.855714451,0.151462777,0.481462777,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_400,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.389409659,0.117151345,0.056045221,0.066725214,0.724421574,0.386027185,0.116056571,0.053262242,0.063739292,0.721649615,0.392609432,0.118194148,0.058845963,0.069564498,0.727163988,evaluation_selection_50_percent_split,0.369843766,0.854814112,0.366293944,0.853318099,0.373158538,0.856339295,0.07700573,0.42700573,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_400,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.388155365,0.116608777,0.054439615,0.064590306,0.722987679,0.384744263,0.11550008,0.051641266,0.061599465,0.720092467,0.391671658,0.117729012,0.057322155,0.067558547,0.725923172,evaluation_test_50_percent_split,0.366929569,0.855917966,0.3631305,0.854295954,0.370374781,0.857506088,0.07700573,0.42700573,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_400,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.389821935,0.11719653,0.054087134,0.06464206,0.722460894,0.388511088,0.11677135,0.052915299,0.063447056,0.72131658,0.391166081,0.11762162,0.055262877,0.065859509,0.72363478,official_holdout_set,0.367765676,0.855108706,0.366347228,0.85450452,0.369209281,0.855714451,0.07700573,0.42700573,evaluation_selection_50_percent_split
ego_AS,pmt_train_and_evaluation_samples_seed_2_241016_with_holdout.csv,train_sample_n_4000,catboost,"learning_rate=NA,subsample=0.8,depth=6",1000,0.366932892,0.113113198,0.088582856,0.089045122,0.747400865,0.364084852,0.112141619,0.085836339,0.086238513,0.744735722,0.369652903,0.114036274,0.091248462,0.091750981,0.750041898,evaluation_selection_50_percent_split,0.390057505,0.854814112,0.386430408,0.853318099,0.393761493,0.856339295,0.170630324,0.590630324,evaluation_selection_50_percent_split
