feature_importance_names,importance
birthday,12.34859781
start_date_of_first_household_with_partner,8.724978091
live_in_partner_age,6.879341022
SECM,5.706051334
GBAGESLACHT,4.226058144
GBAGEBOORTEJAARPARTNER,3.878303788
GEBJAAROUDSTEKINDHH,3.539766849
birthday_youngest,3.391819903
children_pre2021,3.174118396
GBAGEBOORTEJAAR,3.076842163
AANTALKINDHH,2.796962978
family_member_count_type_316,2.349231016
INPP100PPERS,2.308532748
age_youngest,2.131988445
AANVANGVERBINTENIS,1.663001929
OPLNIVSOI2021AGG4HBmetNIRWO,1.642595702
family_member_count_type_302,1.605034593
live_in_partner_GBAGESLACHT,1.457176718
GBAGEBOORTEJAARMOEDER,1.449553364
AANTALPERSHH,1.412646136
VEHW1100BEZH,1.386701104
family_member_count_type_314,1.2557266
GBAGEBOORTEJAARVADER,1.201876442
INHARMEUR,1.156282764
family_member_count_type_306,1.080256318
DATUMAANVANGHH,0.874017277
INHARMEURL,0.864340936
OPLNIVSOI2021AGG4HBmetNIRWO_isced,0.852401934
GBAAANTALOUDERSBUITENLAND,0.718653642
GBADATUMAANVANGADRESHOUDING,0.691672011
INHSAMHH,0.637294919
VEHW1110FINH,0.607638167
INHPOPIIV,0.606077835
GBAGEBOORTELAND,0.582682386
GBABURGERLIJKESTAATNW,0.549473359
AANVSECM,0.519176186
OPLNIVSOI2021AGG4HGmetNIRWO_isced,0.451932844
GEBJAARJONGSTEKINDHH,0.444763793
VZAANTKDV05KM,0.443383541
VBOWoningtype,0.40615496
VEHW1220SSTH,0.398610241
PLHH,0.390032074
TYPHH,0.363550906
average_hours_main,0.354727042
children_of_sex_2,0.317895837
OPLNIVSOI2021AGG4HGmetNIRWO,0.316117244
VZAANTKDV03KM,0.275957148
VEHW1230SOVH,0.273908716
family_member_count_type_310,0.259759453
GBAGENERATIE,0.256642348
family_member_count_type_309,0.252148133
VZAANTBSO05KM,0.239419927
VEHW1130ONDH,0.218642359
VEHWVEREXEWH,0.217979908
VEHP100WELVAART,0.21224476
VEHW1000VERH,0.204531545
children_of_sex_1,0.203240556
IMPUTATIECODEHH,0.196579432
VZAFSTANDKDV,0.195337121
VZAFSTANDBSO,0.189575402
INHBRUTINKH,0.189440889
INPPERSPRIM,0.18856046
INPBELI,0.184595354
VZAANTBSO03KM,0.178749062
VEHW1120ONRH,0.174562921
INPEMEZ,0.172680365
INHEHALGR,0.169735684
family_member_count_total,0.165573977
GBAHERKOMSTLAND,0.162448708
INPPOSHHK,0.161180484
VEHW1210SHYH,0.161114296
INHUAF,0.158743817
GBAGEBOORTELANDPARTNER,0.155314096
VEHW1200STOH,0.153943594
GEBMAANDJONGSTEKINDHH,0.144998727
VZAANTKDV01KM,0.126554249
family_member_count_type_304,0.121586948
family_member_count_type_312,0.119060263
GBAGEBOORTELANDVADER,0.115630433
AANVSECM_partner,0.112485704
INHUAFL,0.107252782
GEBMAANDOUDSTEKINDHH,0.10527259
INHAHL,0.103933139
SECM_partner,0.098796181
family_member_count_type_313,0.094982419
GBAGESLACHTPARTNER,0.086448349
AANTALOVHH,0.074475412
VZAANTBSO01KM,0.07160712
family_member_count_type_308,0.069934271
SCONTRACTSOORT_main,0.068839183
stepchildren_of_sex_1,0.065282246
GBAGEBOORTELANDMOEDER,0.065127757
OPLNIVSOI2021AGG4HBmetNIRWO_partner_isced,0.064429897
n_part,0.063840189
GBAGEBOORTEMAANDVADER,0.063356772
n_temporary,0.062686672
family_member_count_type_311,0.057322004
INPEMFO,0.05711217
family_member_count_type_318,0.054756143
INHAHLMI,0.053110379
INPP100PBRUT,0.051204915
INHUAFTYP,0.048898753
OPLNIVSOI2021AGG4HGmetNIRWO_partner_isced,0.043980265
stepchildren_of_sex_2,0.04344469
n_months_main,0.042316892
INHSAMAOW,0.042248329
OPLNIVSOI2021AGG4HBmetNIRWO_partner,0.039737852
GBAGEBOORTEMAAND,0.03883377
family_member_count_type_303,0.03845707
VEHP100HVERM,0.036796822
OPLNIVSOI2021AGG4HGmetNIRWO_partner,0.03553592
VEHW1140ABEH,0.034786071
family_member_count_type_320,0.034434684
INHBBIHJ,0.03399645
VEHW1150OVEH,0.031919959
family_member_count_type_307,0.031793745
GBAGEBOORTEMAANDMOEDER,0.03083881
partnerships_total,0.030797223
GBAHERKOMSTGROEPERING,0.029740898
family_member_count_type_317,0.026766661
family_member_count_type_322,0.02481318
SPOLISDIENSTVERBAND_main,0.024392872
family_member_count_type_301,0.02077661
GBAGEBOORTEMAANDPARTNER,0.017870612
family_member_count_type_321,0.017428569
GBAIMPUTATIECODE,0.016636759
family_member_count_type_319,0.016427294
n_jobs,0.016071363
n_permanent,0.014964081
INPPINK,0.013182113
GBAGESLACHTVADER,0.011354752
n_full,0.01109953
GBAGESLACHTMOEDER,0.005768841
marriages_total,0.004434138
GBAGEBOORTELANDNL,0.002715511
family_member_count_type_305,0
family_member_count_type_315,0
